BraTS21ID,Model,Channels,Tumor regions,Dice score,HD95
BraTS2021_00116,MEncodnnUnet,4 channels,TC,0.8040281534194946,5.385164807134504
BraTS2021_00468,MEncodnnUnet,4 channels,TC,0.9035412669181824,4.898979485566356
BraTS2021_01459,MEncodnnUnet,4 channels,TC,0.9321662783622742,1.6049159094905354
BraTS2021_01486,MEncodnnUnet,4 channels,TC,0.6084140539169312,14.202103346113669
BraTS2021_00687,MEncodnnUnet,4 channels,TC,0.9584218859672546,2.449489742783178
BraTS2021_01302,MEncodnnUnet,4 channels,TC,0.9395889043807983,3.0
BraTS2021_00999,MEncodnnUnet,4 channels,TC,0.8626262545585632,9.16515138991168
BraTS2021_00241,MEncodnnUnet,4 channels,TC,0.9633761644363403,1.0
BraTS2021_01067,MEncodnnUnet,4 channels,TC,0.9699653387069702,1.0
BraTS2021_01362,MEncodnnUnet,4 channels,TC,0.972343921661377,2.0
BraTS2021_00085,MEncodnnUnet,4 channels,TC,0.7517852187156677,2.974264068711913
BraTS2021_01180,MEncodnnUnet,4 channels,TC,0.9245190620422363,2.8284271247461903
BraTS2021_01312,MEncodnnUnet,4 channels,TC,0.9795632362365723,1.0
BraTS2021_00511,MEncodnnUnet,4 channels,TC,0.9851149320602417,1.0
BraTS2021_00834,MEncodnnUnet,4 channels,TC,0.9659014344215393,1.0
BraTS2021_01045,MEncodnnUnet,4 channels,TC,0.9757514595985413,1.0
BraTS2021_00808,MEncodnnUnet,4 channels,TC,0.978299081325531,1.0
BraTS2021_01042,MEncodnnUnet,4 channels,TC,0.9666454792022705,2.23606797749979
BraTS2021_01644,MEncodnnUnet,4 channels,TC,0.9632904529571533,20.171733700573906
BraTS2021_00360,MEncodnnUnet,4 channels,TC,0.9589587450027466,9.0
BraTS2021_01113,MEncodnnUnet,4 channels,TC,0.9434815049171448,2.449489742783178
BraTS2021_00369,MEncodnnUnet,4 channels,TC,0.9329506754875183,6.708203932499369
BraTS2021_00679,MEncodnnUnet,4 channels,TC,0.9221312999725342,2.449489742783178
BraTS2021_00166,MEncodnnUnet,4 channels,TC,0.9729758501052856,1.4142135623730951
BraTS2021_00456,MEncodnnUnet,4 channels,TC,0.9673495292663574,1.4142135623730951
BraTS2021_00148,MEncodnnUnet,4 channels,TC,0.8975839614868164,2.0
BraTS2021_00624,MEncodnnUnet,4 channels,TC,0.9703314900398254,1.0
BraTS2021_00316,MEncodnnUnet,4 channels,TC,0.9750279188156128,1.0
BraTS2021_01433,MEncodnnUnet,4 channels,TC,0.47023144364356995,43.67778379372913
BraTS2021_00576,MEncodnnUnet,4 channels,TC,0.8519961833953857,3.4641016151377544
BraTS2021_01016,MEncodnnUnet,4 channels,TC,0.9806420207023621,1.0
BraTS2021_00195,MEncodnnUnet,4 channels,TC,0.9815913438796997,1.0
BraTS2021_00090,MEncodnnUnet,4 channels,TC,0.9545403122901917,1.0
BraTS2021_00230,MEncodnnUnet,4 channels,TC,0.9579607844352722,1.4142135623730951
BraTS2021_01390,MEncodnnUnet,4 channels,TC,0.9770130515098572,1.0
BraTS2021_00432,MEncodnnUnet,4 channels,TC,0.8200255036354065,24.149514996136034
BraTS2021_00654,MEncodnnUnet,4 channels,TC,0.9626976251602173,2.23606797749979
BraTS2021_00406,MEncodnnUnet,4 channels,TC,0.9768007397651672,1.4142135623730951
BraTS2021_01310,MEncodnnUnet,4 channels,TC,0.9577535390853882,1.0
BraTS2021_00136,MEncodnnUnet,4 channels,TC,0.8440952897071838,6.0
BraTS2021_00339,MEncodnnUnet,4 channels,TC,0.9859506487846375,1.0
BraTS2021_01383,MEncodnnUnet,4 channels,TC,0.9858437776565552,1.0
BraTS2021_00243,MEncodnnUnet,4 channels,TC,0.6235204935073853,10.198039027185569
BraTS2021_00555,MEncodnnUnet,4 channels,TC,0.8735747933387756,3.3166247903554
BraTS2021_01600,MEncodnnUnet,4 channels,TC,0.9885563850402832,1.0
BraTS2021_01131,MEncodnnUnet,4 channels,TC,0.981902539730072,1.0
BraTS2021_00220,MEncodnnUnet,4 channels,TC,0.9444901943206787,2.23606797749979
BraTS2021_00288,MEncodnnUnet,4 channels,TC,0.9659863710403442,1.0
BraTS2021_01198,MEncodnnUnet,4 channels,TC,0.9635805487632751,2.449489742783178
BraTS2021_01613,MEncodnnUnet,4 channels,TC,0.9614652395248413,1.4142135623730951
BraTS2021_01375,MEncodnnUnet,4 channels,TC,0.5980810523033142,48.84567524938124
BraTS2021_01449,MEncodnnUnet,4 channels,TC,0.9347701072692871,2.8284271247461903
BraTS2021_00151,MEncodnnUnet,4 channels,TC,0.9365948438644409,5.916079783099616
BraTS2021_01638,MEncodnnUnet,4 channels,TC,0.9727993607521057,1.7320508075688772
BraTS2021_01454,MEncodnnUnet,4 channels,TC,0.8575214147567749,4.123105625617661
BraTS2021_01395,MEncodnnUnet,4 channels,TC,0.8202471137046814,2.23606797749979
BraTS2021_01348,MEncodnnUnet,4 channels,TC,0.9732313752174377,1.0
BraTS2021_01252,MEncodnnUnet,4 channels,TC,0.8522079586982727,3.1622776601683795
BraTS2021_01585,MEncodnnUnet,4 channels,TC,0.970639705657959,1.0
BraTS2021_01060,MEncodnnUnet,4 channels,TC,0.9805874228477478,1.4142135623730951
BraTS2021_01494,MEncodnnUnet,4 channels,TC,0.7870122194290161,7.280109889280518
BraTS2021_00382,MEncodnnUnet,4 channels,TC,0.9500452280044556,4.47213595499958
BraTS2021_01165,MEncodnnUnet,4 channels,TC,0.9780649542808533,1.0
BraTS2021_01620,MEncodnnUnet,4 channels,TC,0.971157968044281,1.0
BraTS2021_01331,MEncodnnUnet,4 channels,TC,0.8949853181838989,28.097151486006627
BraTS2021_01508,MEncodnnUnet,4 channels,TC,0.6227506995201111,18.601075237738275
